,unique_id,bank_account
0,uniqueid_6056 x 2018,1
1,uniqueid_6060 x 2018,1
2,uniqueid_6065 x 2018,0
3,uniqueid_6072 x 2018,0
4,uniqueid_6073 x 2018,0
5,uniqueid_6074 x 2018,0
6,uniqueid_6075 x 2018,0
7,uniqueid_6076 x 2018,1
8,uniqueid_6077 x 2018,0
9,uniqueid_6078 x 2018,1
10,uniqueid_6079 x 2018,0
11,uniqueid_6080 x 2018,0
12,uniqueid_6081 x 2018,0
13,uniqueid_6082 x 2018,0
14,uniqueid_6083 x 2018,0
15,uniqueid_6084 x 2018,0
16,uniqueid_6085 x 2018,1
17,uniqueid_6086 x 2018,0
18,uniqueid_6087 x 2018,0
19,uniqueid_6088 x 2018,1
20,uniqueid_6089 x 2018,0
21,uniqueid_6090 x 2018,0
22,uniqueid_6091 x 2018,0
23,uniqueid_6092 x 2018,0
24,uniqueid_6093 x 2018,0
25,uniqueid_6094 x 2018,0
26,uniqueid_6095 x 2018,0
27,uniqueid_6096 x 2018,0
28,uniqueid_6097 x 2018,0
29,uniqueid_6098 x 2018,0
30,uniqueid_6099 x 2018,0
31,uniqueid_6100 x 2018,0
32,uniqueid_6101 x 2018,0
33,uniqueid_6102 x 2018,0
34,uniqueid_6103 x 2018,0
35,uniqueid_6104 x 2018,1
36,uniqueid_6105 x 2018,0
37,uniqueid_6106 x 2018,1
38,uniqueid_6107 x 2018,1
39,uniqueid_6108 x 2018,0
40,uniqueid_6109 x 2018,0
41,uniqueid_6110 x 2018,1
42,uniqueid_6111 x 2018,0
43,uniqueid_6112 x 2018,0
44,uniqueid_6113 x 2018,0
45,uniqueid_6114 x 2018,0
46,uniqueid_6115 x 2018,1
47,uniqueid_6116 x 2018,1
48,uniqueid_6117 x 2018,0
49,uniqueid_6118 x 2018,0
50,uniqueid_6119 x 2018,0
51,uniqueid_6120 x 2018,0
52,uniqueid_6121 x 2018,1
53,uniqueid_6122 x 2018,1
54,uniqueid_6123 x 2018,0
55,uniqueid_6124 x 2018,0
56,uniqueid_6125 x 2018,0
57,uniqueid_6126 x 2018,0
58,uniqueid_6127 x 2018,1
59,uniqueid_6128 x 2018,0
60,uniqueid_6129 x 2018,0
61,uniqueid_6130 x 2018,0
62,uniqueid_6131 x 2018,0
63,uniqueid_6132 x 2018,0
64,uniqueid_6133 x 2018,0
65,uniqueid_6134 x 2018,0
66,uniqueid_6135 x 2018,1
67,uniqueid_6136 x 2018,0
68,uniqueid_6137 x 2018,0
69,uniqueid_6138 x 2018,0
70,uniqueid_6139 x 2018,0
71,uniqueid_6140 x 2018,0
72,uniqueid_6141 x 2018,0
73,uniqueid_6142 x 2018,0
74,uniqueid_6143 x 2018,0
75,uniqueid_6144 x 2018,0
76,uniqueid_6145 x 2018,0
77,uniqueid_6146 x 2018,0
78,uniqueid_6147 x 2018,0
79,uniqueid_6148 x 2018,0
80,uniqueid_6149 x 2018,0
81,uniqueid_6150 x 2018,0
82,uniqueid_6151 x 2018,0
83,uniqueid_6152 x 2018,0
84,uniqueid_6153 x 2018,0
85,uniqueid_6154 x 2018,1
86,uniqueid_6155 x 2018,0
87,uniqueid_6156 x 2018,0
88,uniqueid_6157 x 2018,1
89,uniqueid_6158 x 2018,0
90,uniqueid_6159 x 2018,1
91,uniqueid_6160 x 2018,0
92,uniqueid_6161 x 2018,0
93,uniqueid_6162 x 2018,0
94,uniqueid_6163 x 2018,0
95,uniqueid_6164 x 2018,0
96,uniqueid_6165 x 2018,1
97,uniqueid_6166 x 2018,0
98,uniqueid_6167 x 2018,0
99,uniqueid_6168 x 2018,1
100,uniqueid_6169 x 2018,1
101,uniqueid_6170 x 2018,1
102,uniqueid_6171 x 2018,0
103,uniqueid_6172 x 2018,0
104,uniqueid_6173 x 2018,0
105,uniqueid_6174 x 2018,1
106,uniqueid_6175 x 2018,0
107,uniqueid_6176 x 2018,0
108,uniqueid_6177 x 2018,0
109,uniqueid_6178 x 2018,1
110,uniqueid_6179 x 2018,0
111,uniqueid_6180 x 2018,0
112,uniqueid_6181 x 2018,0
113,uniqueid_6182 x 2018,0
114,uniqueid_6183 x 2018,1
115,uniqueid_6184 x 2018,1
116,uniqueid_6185 x 2018,0
117,uniqueid_6186 x 2018,0
118,uniqueid_6187 x 2018,0
119,uniqueid_6188 x 2018,0
120,uniqueid_6189 x 2018,0
121,uniqueid_6190 x 2018,0
122,uniqueid_6191 x 2018,0
123,uniqueid_6192 x 2018,0
124,uniqueid_6193 x 2018,0
125,uniqueid_6194 x 2018,1
126,uniqueid_6195 x 2018,0
127,uniqueid_6196 x 2018,1
128,uniqueid_6197 x 2018,0
129,uniqueid_6198 x 2018,1
130,uniqueid_6199 x 2018,0
131,uniqueid_6200 x 2018,0
132,uniqueid_6201 x 2018,1
133,uniqueid_6202 x 2018,0
134,uniqueid_6203 x 2018,0
135,uniqueid_6204 x 2018,1
136,uniqueid_6205 x 2018,0
137,uniqueid_6206 x 2018,0
138,uniqueid_6207 x 2018,1
139,uniqueid_6208 x 2018,0
140,uniqueid_6209 x 2018,0
141,uniqueid_6210 x 2018,0
142,uniqueid_6211 x 2018,0
143,uniqueid_6212 x 2018,0
144,uniqueid_6213 x 2018,0
145,uniqueid_6214 x 2018,0
146,uniqueid_6215 x 2018,1
147,uniqueid_6216 x 2018,1
148,uniqueid_6217 x 2018,0
149,uniqueid_6218 x 2018,1
150,uniqueid_6219 x 2018,1
151,uniqueid_6220 x 2018,0
152,uniqueid_6221 x 2018,0
153,uniqueid_6222 x 2018,0
154,uniqueid_6223 x 2018,0
155,uniqueid_6224 x 2018,1
156,uniqueid_6225 x 2018,0
157,uniqueid_6226 x 2018,0
158,uniqueid_6227 x 2018,1
159,uniqueid_6228 x 2018,1
160,uniqueid_6229 x 2018,1
161,uniqueid_6230 x 2018,1
162,uniqueid_6231 x 2018,0
163,uniqueid_6232 x 2018,0
164,uniqueid_6233 x 2018,0
165,uniqueid_6234 x 2018,1
166,uniqueid_6235 x 2018,0
167,uniqueid_6236 x 2018,0
168,uniqueid_6237 x 2018,1
169,uniqueid_6238 x 2018,0
170,uniqueid_6239 x 2018,0
171,uniqueid_6240 x 2018,1
172,uniqueid_6241 x 2018,0
173,uniqueid_6242 x 2018,1
174,uniqueid_6243 x 2018,1
175,uniqueid_6244 x 2018,0
176,uniqueid_6245 x 2018,0
177,uniqueid_6246 x 2018,0
178,uniqueid_6247 x 2018,0
179,uniqueid_6248 x 2018,1
180,uniqueid_6249 x 2018,1
181,uniqueid_6250 x 2018,0
182,uniqueid_6251 x 2018,0
183,uniqueid_6252 x 2018,0
184,uniqueid_6253 x 2018,0
185,uniqueid_6254 x 2018,1
186,uniqueid_6255 x 2018,1
187,uniqueid_6256 x 2018,1
188,uniqueid_6257 x 2018,0
189,uniqueid_6258 x 2018,0
190,uniqueid_6259 x 2018,0
191,uniqueid_6260 x 2018,0
192,uniqueid_6261 x 2018,0
193,uniqueid_6262 x 2018,0
194,uniqueid_6263 x 2018,0
195,uniqueid_6264 x 2018,0
196,uniqueid_6265 x 2018,1
197,uniqueid_6266 x 2018,0
198,uniqueid_6267 x 2018,1
199,uniqueid_6268 x 2018,0
200,uniqueid_6269 x 2018,1
201,uniqueid_6270 x 2018,0
202,uniqueid_6271 x 2018,1
203,uniqueid_6272 x 2018,0
204,uniqueid_6273 x 2018,0
205,uniqueid_6274 x 2018,0
206,uniqueid_6275 x 2018,0
207,uniqueid_6276 x 2018,0
208,uniqueid_6277 x 2018,0
209,uniqueid_6278 x 2018,0
210,uniqueid_6279 x 2018,0
211,uniqueid_6280 x 2018,0
212,uniqueid_6281 x 2018,0
213,uniqueid_6282 x 2018,0
214,uniqueid_6283 x 2018,1
215,uniqueid_6284 x 2018,1
216,uniqueid_6285 x 2018,0
217,uniqueid_6286 x 2018,1
218,uniqueid_6287 x 2018,0
219,uniqueid_6288 x 2018,0
220,uniqueid_6289 x 2018,0
221,uniqueid_6290 x 2018,0
222,uniqueid_6291 x 2018,1
223,uniqueid_6292 x 2018,0
224,uniqueid_6293 x 2018,0
225,uniqueid_6294 x 2018,0
226,uniqueid_6295 x 2018,0
227,uniqueid_6296 x 2018,0
228,uniqueid_6297 x 2018,0
229,uniqueid_6298 x 2018,0
230,uniqueid_6299 x 2018,0
231,uniqueid_6300 x 2018,0
232,uniqueid_6301 x 2018,0
233,uniqueid_6302 x 2018,0
234,uniqueid_6303 x 2018,0
235,uniqueid_6304 x 2018,0
236,uniqueid_6305 x 2018,0
237,uniqueid_6306 x 2018,1
238,uniqueid_6307 x 2018,0
239,uniqueid_6308 x 2018,0
240,uniqueid_6309 x 2018,0
241,uniqueid_6310 x 2018,0
242,uniqueid_6311 x 2018,1
243,uniqueid_6312 x 2018,0
244,uniqueid_6313 x 2018,0
245,uniqueid_6314 x 2018,0
246,uniqueid_6315 x 2018,0
